BehaviourCode,Behaviour,BehaviourTypeCode,MethodCode,Method
string,string,string,string,string
行为代码标识,行为,行为类型代码标识,方法代码标识,方法
DelayGenerate,延时生成实体,Event,Init,Init,
DelayGenerate,延时生成实体,Event,Clear,Clear,
Death,死亡,Event,Init,Init,
Death,死亡,Event,Clear,Clear,
EntityUIBinder,实体挂载界面,Event,Init,Init,
EntityUIBinder,实体挂载界面,Event,Clear,Clear,
InputWASDMove,控制器前后左右移动,Auto,Init,Init,
InputWASDMove,控制器前后左右移动,Auto,Clear,Clear,
WaveManager,波数管理器,Event,Init,Init,
WaveManager,波数管理器,Event,Clear,Clear,
UIBinder,挂载界面,Event,Init,Init,
UIBinder,挂载界面,Event,Clear,Clear,
EquipmentMountManager,装备挂载管理器,Event,Init,Init,
EquipmentMountManager,装备挂载管理器,Event,Clear,Clear,
BeginLogo,开头Logo,Event,Init,Init,
BeginLogo,开头Logo,Event,Clear,Clear,
EntityTriggerController,实体触发控制器,Auto,Init,Init,
EntityTriggerController,实体触发控制器,Auto,Clear,Clear,
ParamValue,实体参数值,Event,Init,Init,
ParamValue,实体参数值,Event,Clear,Clear,
TeleportFlow,传送流程,Event,Init,Init,
TeleportFlow,传送流程,Event,Clear,Clear,
StageProgress,阶段进度,Event,Init,Init,
StageProgress,阶段进度,Event,Clear,Clear,
UIStatusDisplay,UI状态展示,Event,Init,Init,
UIStatusDisplay,UI状态展示,Event,Clear,Clear,
UIPickOneOfThree,UI三选一,Event,Init,Init,
UIPickOneOfThree,UI三选一,Event,Clear,Clear,
