FlowCode,Flow,LifeCycleCode,LifeCycle,StageCode,Stage,SignCode,Sign
string,string,string,string,string,string,string,string
流程代码标识,流程,生命周期代码标识,生命周期,阶段代码标识,阶段,标识代码标识,实体
SceneA,场景A,open_ui,流程预览生命周期创建界面选项,Init,Init,UI_SceneA,场景A界面
SceneA,场景A,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Logo_BeginLogo1|场景A,开头Logo
SceneA,场景A,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Camera_Camera1|场景A,相机A
SceneA,场景A,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Camera_Camera1|场景A,相机A
SceneA,场景A,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Logo_BeginLogo1|场景A,开头Logo
SceneA,场景A,close_ui,流程预览生命周期销毁界面选项,Clear,Clear,UI_SceneA,场景A界面
SceneB,场景B,open_ui,流程预览生命周期创建界面选项,Init,Init,UI_SceneB,场景B界面
SceneB,场景B,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Terrain_Terrain1|场景B,地形B
SceneB,场景B,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Tower_Tower1|场景B,塔B
SceneB,场景B,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Player_Player1|场景B,玩家B
SceneB,场景B,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Camera_Camera1|场景B,相机B
SceneB,场景B,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Camera_Camera1|场景B,相机B
SceneB,场景B,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Player_Player1|场景B,玩家B
SceneB,场景B,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Tower_Tower1|场景B,塔B
SceneB,场景B,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Terrain_Terrain1|场景B,地形B
SceneB,场景B,close_ui,流程预览生命周期销毁界面选项,Clear,Clear,UI_SceneB,场景B界面
SceneC,场景C,open_ui,流程预览生命周期创建界面选项,Init,Init,UI_SceneC,场景C界面
SceneC,场景C,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Terrain_Terrain1|场景C,地形C
SceneC,场景C,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Tower_Tower1|场景C,塔C
SceneC,场景C,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Player_Player1|场景C,玩家C
SceneC,场景C,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Camera_Camera1|场景C,相机C
SceneC,场景C,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Wave_WaveManager1|场景C,波数管理器
SceneC,场景C,load_entity,流程预览生命周期创建选项,Init,Init,Obj_Generate_EnemyGenerate1|场景C,敌人生成器
SceneC,场景C,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Generate_EnemyGenerate1|场景C,敌人生成器
SceneC,场景C,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Wave_WaveManager1|场景C,波数管理器
SceneC,场景C,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Camera_Camera1|场景C,相机C
SceneC,场景C,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Player_Player1|场景C,玩家C
SceneC,场景C,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Tower_Tower1|场景C,塔C
SceneC,场景C,unload_entity,流程预览生命周期销毁选项,Clear,Clear,Obj_Terrain_Terrain1|场景C,地形C
SceneC,场景C,close_ui,流程预览生命周期销毁界面选项,Clear,Clear,UI_SceneC,场景C界面
